75;89
51;98
0;98
86;107
66;89
85;85
38;86
43;101
40;110
52;103
11;104
41;101
44;114
95;110
55;88
23;96
24;107
82;95
61;106
13;101
42;105
88;111
31;103
48;97
39;106
3;99
18;103
6;100
62;96
71;94
34;102
87;112
64;103
47;104
84;88
50;127
30;108
99;129
15;109
19;93
14;92
80;108
79;94
21;110
97;90
68;116
53;105
46;105
65;99
76;108
32;113
49;100
10;83
54;91
27;90
12;110
25;110
2;95
81;100
70;102
26;90
37;100
4;82
45;103
72;98
22;106
91;106
77;94
57;112
16;94
17;88
92;107
69;95
67;89
89;100
35;103
58;99
93;94
20;95
29;95
1;89
74;101
5;98
28;100
98;101
56;109
60;79
96;106
59;108
83;114
78;110
9;88
33;76
36;88
94;94
90;97
8;101
63;97
7;99
73;97
